discipline	informationElement	level	identifier
Geology	ChronometricAge	MIDS3	Geology_ChronometricAge_MIDS3
Geology	CollectorID	MIDS3	Geology_CollectorID_MIDS3
Geology	GeographicalLocalityID	MIDS3	Geology_GeographicalLocalityID_MIDS3
Geology	GeologicalContext	MIDS2	Geology_GeologicalContext_MIDS2
Geology	IdentifiedByID	MIDS3	Geology_IdentifiedByID_MIDS3
Geology	IndentifiedAsID	MIDS3	Geology_IndentifiedAsID_MIDS3
Geology	InstitutionID	MIDS3	Geology_InstitutionID_MIDS3
Geology	License	MIDS1	Geology_License_MIDS1
Geology	Mass	MIDS3	Geology_Mass_MIDS3
Geology	MediaID	MIDS3	Geology_MediaID_MIDS3
Geology	Modified	MIDS1	Geology_Modified_MIDS1
Geology	Name	MIDS1	Geology_Name_MIDS1
Geology	ObjectType	MIDS1	Geology_ObjectType_MIDS1
Geology	Organization	MIDS0	Geology_Organization_MIDS0
Geology	PhysicalSpecimenID	MIDS0	Geology_PhysicalSpecimenID_MIDS0
Geology	QualitativeLocation	MIDS2	Geology_QualitativeLocation_MIDS2
Geology	QuantitativeLocation	MIDS2	Geology_QuantitativeLocation_MIDS2
Geology	StratigraphicContext	MIDS2	Geology_StratigraphicContext_MIDS2
Geology	TypeStatus	MIDS2	Geology_TypeStatus_MIDS2
